"indic_de","unit","geo","time","values"
"PC_Y60_64","PC","BG31",2018,7.4
"PC_Y65_69","PC","BG31",2018,8
"PC_Y70_74","PC","BG31",2018,7.1
"PC_Y75_79","PC","BG31",2018,4.8
"PC_Y80_84","PC","BG31",2018,3.6
"PC_Y85_MAX","PC","BG31",2018,2.5
"PC_Y60_64","PC","BG32",2017,7.5
"PC_Y65_69","PC","BG32",2017,7.6
"PC_Y70_74","PC","BG32",2017,6.3
"PC_Y75_79","PC","BG32",2017,4.3
"PC_Y80_84","PC","BG32",2017,3.1
"PC_Y85_MAX","PC","BG32",2017,1.8
"PC_Y60_64","PC","BG32",2018,7.5
"PC_Y65_69","PC","BG32",2018,7.5
"PC_Y70_74","PC","BG32",2018,6.5
"PC_Y75_79","PC","BG32",2018,4.5
"PC_Y80_84","PC","BG32",2018,3
"PC_Y85_MAX","PC","BG32",2018,1.9
"PC_Y60_64","PC","BG33",2017,6.8
"PC_Y65_69","PC","BG33",2017,6.7
"PC_Y70_74","PC","BG33",2017,5.2
"PC_Y75_79","PC","BG33",2017,3.5
"PC_Y80_84","PC","BG33",2017,2.6
"PC_Y85_MAX","PC","BG33",2017,1.5
"PC_Y60_64","PC","BG33",2018,6.8
"PC_Y65_69","PC","BG33",2018,6.7
"PC_Y70_74","PC","BG33",2018,5.3
"PC_Y75_79","PC","BG33",2018,3.7
"PC_Y80_84","PC","BG33",2018,2.5
"PC_Y85_MAX","PC","BG33",2018,1.6
"PC_Y60_64","PC","BG34",2017,7.1
"PC_Y65_69","PC","BG34",2017,6.8
"PC_Y70_74","PC","BG34",2017,5
"PC_Y75_79","PC","BG34",2017,3.8
"PC_Y80_84","PC","BG34",2017,2.9
"PC_Y85_MAX","PC","BG34",2017,1.7
"PC_Y60_64","PC","BG34",2018,7
"PC_Y65_69","PC","BG34",2018,6.9
"PC_Y70_74","PC","BG34",2018,5.2
"PC_Y75_79","PC","BG34",2018,3.8
"PC_Y80_84","PC","BG34",2018,2.9
"PC_Y85_MAX","PC","BG34",2018,1.8
"PC_Y60_64","PC","BG4",2017,6.7
"PC_Y65_69","PC","BG4",2017,6.3
"PC_Y70_74","PC","BG4",2017,4.9
"PC_Y75_79","PC","BG4",2017,3.6
"PC_Y80_84","PC","BG4",2017,2.8
"PC_Y85_MAX","PC","BG4",2017,1.9
"PC_Y60_64","PC","BG4",2018,6.7
"PC_Y65_69","PC","BG4",2018,6.4
"PC_Y70_74","PC","BG4",2018,5.1
"PC_Y75_79","PC","BG4",2018,3.7
"PC_Y80_84","PC","BG4",2018,2.8
"PC_Y85_MAX","PC","BG4",2018,1.9
"PC_Y60_64","PC","BG41",2017,6.4
"PC_Y65_69","PC","BG41",2017,6.2
"PC_Y70_74","PC","BG41",2017,4.8
"PC_Y75_79","PC","BG41",2017,3.4
"PC_Y80_84","PC","BG41",2017,2.6
"PC_Y85_MAX","PC","BG41",2017,1.9
"PC_Y60_64","PC","BG41",2018,6.4
"PC_Y65_69","PC","BG41",2018,6.2
"PC_Y70_74","PC","BG41",2018,4.9
"PC_Y75_79","PC","BG41",2018,3.4
"PC_Y80_84","PC","BG41",2018,2.6
"PC_Y85_MAX","PC","BG41",2018,1.9
"PC_Y60_64","PC","BG42",2017,7.1
"PC_Y65_69","PC","BG42",2017,6.5
"PC_Y70_74","PC","BG42",2017,5.2
"PC_Y75_79","PC","BG42",2017,4
"PC_Y80_84","PC","BG42",2017,3
"PC_Y85_MAX","PC","BG42",2017,1.9
"PC_Y60_64","PC","BG42",2018,7.2
"PC_Y65_69","PC","BG42",2018,6.6
"PC_Y70_74","PC","BG42",2018,5.3
"PC_Y75_79","PC","BG42",2018,4
"PC_Y80_84","PC","BG42",2018,3
"PC_Y85_MAX","PC","BG42",2018,2
"PC_Y60_64","PC","CH",2017,5.7
"PC_Y65_69","PC","CH",2017,5.1
"PC_Y70_74","PC","CH",2017,4.6
"PC_Y75_79","PC","CH",2017,3.3
"PC_Y80_84","PC","CH",2017,2.6
"PC_Y85_MAX","PC","CH",2017,2.5
"PC_Y60_64","PC","CH",2018,5.8
"PC_Y65_69","PC","CH",2018,5.1
"PC_Y70_74","PC","CH",2018,4.6
"PC_Y75_79","PC","CH",2018,3.5
"PC_Y80_84","PC","CH",2018,2.6
"PC_Y85_MAX","PC","CH",2018,2.6
"PC_Y60_64","PC","CH0",2017,5.7
"PC_Y65_69","PC","CH0",2017,5.1
"PC_Y70_74","PC","CH0",2017,4.6
"PC_Y75_79","PC","CH0",2017,3.3
"PC_Y80_84","PC","CH0",2017,2.6
"PC_Y85_MAX","PC","CH0",2017,2.5
"PC_Y60_64","PC","CH0",2018,5.8
"PC_Y65_69","PC","CH0",2018,5.1
"PC_Y70_74","PC","CH0",2018,4.6
