"indic_de","unit","geo","time","values"
"OLDDEP2","PC","BG",2018,52.3
"PC_FM","PC","BG",2018,106
"PC_Y60_MAX","PC","BG",2018,27.9
"PC_Y65_MAX","PC","BG",2018,21
"OLDDEP1","PC","BG3",2017,34.2
"OLDDEP2","PC","BG3",2017,55.7
"PC_FM","PC","BG3",2017,105.1
"PC_Y60_MAX","PC","BG3",2017,29.1
"PC_Y65_MAX","PC","BG3",2017,21.9
"OLDDEP1","PC","BG3",2018,35
"OLDDEP2","PC","BG3",2018,56.7
"PC_FM","PC","BG3",2018,105.3
"PC_Y60_MAX","PC","BG3",2018,29.4
"PC_Y65_MAX","PC","BG3",2018,22.2
"OLDDEP1","PC","BG31",2017,42
"OLDDEP2","PC","BG31",2017,67.6
"PC_FM","PC","BG31",2017,104.4
"PC_Y60_MAX","PC","BG31",2017,33.1
"PC_Y65_MAX","PC","BG31",2017,25.7
"OLDDEP1","PC","BG31",2018,42.7
"OLDDEP2","PC","BG31",2018,68.6
"PC_FM","PC","BG31",2018,104.6
"PC_Y60_MAX","PC","BG31",2018,33.4
"PC_Y65_MAX","PC","BG31",2018,25.9
"OLDDEP1","PC","BG32",2017,36.2
"OLDDEP2","PC","BG32",2017,58.8
"PC_FM","PC","BG32",2017,105.5
"PC_Y60_MAX","PC","BG32",2017,30.7
"PC_Y65_MAX","PC","BG32",2017,23.2
"OLDDEP1","PC","BG32",2018,37.1
"OLDDEP2","PC","BG32",2018,59.9
"PC_FM","PC","BG32",2018,105.6
"PC_Y60_MAX","PC","BG32",2018,31
"PC_Y65_MAX","PC","BG32",2018,23.6
"OLDDEP1","PC","BG33",2017,29.6
"OLDDEP2","PC","BG33",2017,48.3
"PC_FM","PC","BG33",2017,104.7
"PC_Y60_MAX","PC","BG33",2017,26.3
"PC_Y65_MAX","PC","BG33",2017,19.5
"OLDDEP1","PC","BG33",2018,30.4
"OLDDEP2","PC","BG33",2018,49.3
"PC_FM","PC","BG33",2018,105
"PC_Y60_MAX","PC","BG33",2018,26.6
"PC_Y65_MAX","PC","BG33",2018,19.9
"OLDDEP1","PC","BG34",2017,31.5
"OLDDEP2","PC","BG34",2017,52.1
"PC_FM","PC","BG34",2017,105.7
"PC_Y60_MAX","PC","BG34",2017,27.3
"PC_Y65_MAX","PC","BG34",2017,20.2
"OLDDEP1","PC","BG34",2018,32.3
"OLDDEP2","PC","BG34",2018,53.2
"PC_FM","PC","BG34",2018,105.9
"PC_Y60_MAX","PC","BG34",2018,27.6
"PC_Y65_MAX","PC","BG34",2018,20.6
"OLDDEP1","PC","BG4",2017,29.5
"OLDDEP2","PC","BG4",2017,47.3
"PC_FM","PC","BG4",2017,106.6
"PC_Y60_MAX","PC","BG4",2017,26.3
"PC_Y65_MAX","PC","BG4",2017,19.6
"OLDDEP1","PC","BG4",2018,30
"OLDDEP2","PC","BG4",2018,48.2
"PC_FM","PC","BG4",2018,106.7
"PC_Y60_MAX","PC","BG4",2018,26.5
"PC_Y65_MAX","PC","BG4",2018,19.8
"OLDDEP1","PC","BG41",2017,28.1
"OLDDEP2","PC","BG41",2017,44.6
"PC_FM","PC","BG41",2017,107.3
"PC_Y60_MAX","PC","BG41",2017,25.3
"PC_Y65_MAX","PC","BG41",2017,18.9
"OLDDEP1","PC","BG41",2018,28.6
"OLDDEP2","PC","BG41",2018,45.3
"PC_FM","PC","BG41",2018,107.2
"PC_Y60_MAX","PC","BG41",2018,25.5
"PC_Y65_MAX","PC","BG41",2018,19.1
"OLDDEP1","PC","BG42",2017,31.6
"OLDDEP2","PC","BG42",2017,51.5
"PC_FM","PC","BG42",2017,105.7
"PC_Y60_MAX","PC","BG42",2017,27.7
"PC_Y65_MAX","PC","BG42",2017,20.6
"OLDDEP1","PC","BG42",2018,32.2
"OLDDEP2","PC","BG42",2018,52.7
"PC_FM","PC","BG42",2018,105.9
"PC_Y60_MAX","PC","BG42",2018,28
"PC_Y65_MAX","PC","BG42",2018,20.9
"OLDDEP1","PC","CH",2017,27
"OLDDEP2","PC","CH",2017,42.4
"PC_FM","PC","CH",2017,101.7
"PC_Y60_MAX","PC","CH",2017,23.8
"PC_Y65_MAX","PC","CH",2017,18.1
"OLDDEP1","PC","CH",2018,27.4
"OLDDEP2","PC","CH",2018,43.1
"PC_FM","PC","CH",2018,101.7
"PC_Y60_MAX","PC","CH",2018,24.1
"PC_Y65_MAX","PC","CH",2018,18.3
"OLDDEP1","PC","CH0",2017,27
"OLDDEP2","PC","CH0",2017,42.4
"PC_FM","PC","CH0",2017,101.7
"PC_Y60_MAX","PC","CH0",2017,23.8
"PC_Y65_MAX","PC","CH0",2017,18.1
"OLDDEP1","PC","CH0",2018,27.4
"OLDDEP2","PC","CH0",2018,43.1
"PC_FM","PC","CH0",2018,101.7
"PC_Y60_MAX","PC","CH0",2018,24.1
"PC_Y65_MAX","PC","CH0",2018,18.3
"OLDDEP1","PC","CH01",2017,25.1
"OLDDEP2","PC","CH01",2017,39.2
"PC_FM","PC","CH01",2017,104.1
"PC_Y60_MAX","PC","CH01",2017,22.2
"PC_Y65_MAX","PC","CH01",2017,17
"OLDDEP1","PC","CH01",2018,25.2
"OLDDEP2","PC","CH01",2018,39.5
"PC_FM","PC","CH01",2018,104
"PC_Y60_MAX","PC","CH01",2018,22.3
"PC_Y65_MAX","PC","CH01",2018,17
"OLDDEP1","PC","CH02",2017,28.9
"OLDDEP2","PC","CH02",2017,45.8
"PC_FM","PC","CH02",2017,102.6
"PC_Y60_MAX","PC","CH02",2017,25.1
"PC_Y65_MAX","PC","CH02",2017,19.1
"OLDDEP1","PC","CH02",2018,29.4
"OLDDEP2","PC","CH02",2018,46.6
"PC_FM","PC","CH02",2018,102.6
"PC_Y60_MAX","PC","CH02",2018,25.5
"PC_Y65_MAX","PC","CH02",2018,19.4
"OLDDEP1","PC","CH03",2017,27.9
"OLDDEP2","PC","CH03",2017,44.2
"PC_FM","PC","CH03",2017,101.5
"PC_Y60_MAX","PC","CH03",2017,24.7
"PC_Y65_MAX","PC","CH03",2017,18.7
"OLDDEP1","PC","CH03",2018,28.4
"OLDDEP2","PC","CH03",2018,44.9
"PC_FM","PC","CH03",2018,101.5
"PC_Y60_MAX","PC","CH03",2018,25
"PC_Y65_MAX","PC","CH03",2018,18.9
"OLDDEP1","PC","CH04",2017,24.8
"OLDDEP2","PC","CH04",2017,38
"PC_FM","PC","CH04",2017,101.1
"PC_Y60_MAX","PC","CH04",2017,22.1
"PC_Y65_MAX","PC","CH04",2017,16.9
