unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	1.7 p	2.8 p
PCH_PRE,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.6 	1.6 p	3.1 p
PCH_PRE,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	2 p	3.5 p
PCH_PRE,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.3 	2.5 p	2.9 p
PCH_PRE,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.2 	-0.1 p	1.6 p
PCH_PRE,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	1.2 p	1.5 p
PCH_PRE,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.8 	1.7 p	1.8 p
PCH_PRE,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	-2.5 p	-0.5 p
PCH_PRE,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	2.1 p	3.1 p
PCH_PRE,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	0.6 p	1 p
PCH_PRE,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.1 	2 p	2.2 p
PCH_PRE,FRY1	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.2 	1.3 p	2.4 p
PCH_PRE,FRY2	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.6 	-0.7 p	-0.7 p
PCH_PRE,FRY3	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.4 	5.4 p	-3 p
PCH_PRE,FRY4	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4 	3 p	3.1 p
PCH_PRE,FRY5	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.7 	9.8 p	13.2 p
PCH_PRE,FRZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	0.2 p	1 p
PCH_PRE,HU11	7.2 	-1.1 	1.3 	-3 	-1 	0.8 	0 	2.1 	1.6 	1.8 	2.3 	: 
PCH_PRE,HU12	2.9 	11.1 	-4.4 	-6.7 	4.7 	-2.3 	-4.7 	4.4 	3.2 	5.8 	1.5 	: 
PCH_PRE,HU21	0.2 	5.4 	-2.1 	-16.1 	5.7 	4.6 	-3.9 	3.7 	5.3 	6.1 	4.7 	: 
PCH_PRE,HU22	5.1 	-0.4 	0.7 	-10.5 	7.6 	5.2 	-1 	1.5 	11 	5.5 	4 	: 
PCH_PRE,HU23	1.3 	-2.5 	3.6 	-5.3 	-1.8 	1.2 	-3 	3.7 	3 	-0.1 	3.3 	: 
