"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB","M","F","ES42",2017,200.8
"TOTAL","INPAT","P_HTHAB","M","F","ES43",2017,346
"TOTAL","INPAT","P_HTHAB","M","F","ES5",2017,350.4
"TOTAL","INPAT","P_HTHAB","M","F","ES51",2017,446.9
"TOTAL","INPAT","P_HTHAB","M","F","ES52",2017,209.9
"TOTAL","INPAT","P_HTHAB","M","F","ES53",2017,332.8
"TOTAL","INPAT","P_HTHAB","M","F","ES6",2017,182.4
"TOTAL","INPAT","P_HTHAB","M","F","ES61",2017,170.4
"TOTAL","INPAT","P_HTHAB","M","F","ES62",2017,244.9
"TOTAL","INPAT","P_HTHAB","M","F","ES63",2017,212.7
"TOTAL","INPAT","P_HTHAB","M","F","ES64",2017,235.2
"TOTAL","INPAT","P_HTHAB","M","F","ES70",2017,226.7
"TOTAL","INPAT","P_HTHAB","M","F","FI",2017,1287.5
"TOTAL","INPAT","P_HTHAB","M","F","FR",2017,1259.4
"TOTAL","INPAT","P_HTHAB","M","F","FR10",2017,1048.9
"TOTAL","INPAT","P_HTHAB","M","F","FRB0",2017,1164.6
"TOTAL","INPAT","P_HTHAB","M","F","FRC1",2017,1464.2
"TOTAL","INPAT","P_HTHAB","M","F","FRC2",2017,1312.8
"TOTAL","INPAT","P_HTHAB","M","F","FRD1",2017,1489.5
"TOTAL","INPAT","P_HTHAB","M","F","FRD2",2017,1295.8
"TOTAL","INPAT","P_HTHAB","M","F","FRE1",2017,1494.8
"TOTAL","INPAT","P_HTHAB","M","F","FRE2",2017,1219.3
"TOTAL","INPAT","P_HTHAB","M","F","FRF1",2017,1054.8
"TOTAL","INPAT","P_HTHAB","M","F","FRF2",2017,1179.4
"TOTAL","INPAT","P_HTHAB","M","F","FRF3",2017,1204.4
"TOTAL","INPAT","P_HTHAB","M","F","FRG0",2017,1289.5
"TOTAL","INPAT","P_HTHAB","M","F","FRH0",2017,1900.9
"TOTAL","INPAT","P_HTHAB","M","F","FRI1",2017,1154.4
"TOTAL","INPAT","P_HTHAB","M","F","FRI2",2017,1561.6
"TOTAL","INPAT","P_HTHAB","M","F","FRI3",2017,1138
"TOTAL","INPAT","P_HTHAB","M","F","FRJ1",2017,1225.1
"TOTAL","INPAT","P_HTHAB","M","F","FRJ2",2017,1419.3
"TOTAL","INPAT","P_HTHAB","M","F","FRK1",2017,1623.4
"TOTAL","INPAT","P_HTHAB","M","F","FRK2",2017,1214.4
"TOTAL","INPAT","P_HTHAB","M","F","FRL0",2017,1187.2
"TOTAL","INPAT","P_HTHAB","M","F","FRM0",2017,1180.2
"TOTAL","INPAT","P_HTHAB","M","F","FRY1",2017,1191.9
"TOTAL","INPAT","P_HTHAB","M","F","FRY2",2017,872.8
"TOTAL","INPAT","P_HTHAB","M","F","FRY3",2017,200.9
"TOTAL","INPAT","P_HTHAB","M","F","FRY4",2017,1729.3
"TOTAL","INPAT","P_HTHAB","M","F","FRY5",2017,83.8
"TOTAL","INPAT","P_HTHAB","M","F","HR",2017,1077.2
"TOTAL","INPAT","P_HTHAB","M","F","HR03",2017,748.8
"TOTAL","INPAT","P_HTHAB","M","F","HR04",2017,1245
"TOTAL","INPAT","P_HTHAB","M","F","HU",2017,873.4
"TOTAL","INPAT","P_HTHAB","M","F","IE",2017,154.2
"TOTAL","INPAT","P_HTHAB","M","F","IE04",2017,183.5
"TOTAL","INPAT","P_HTHAB","M","F","IE05",2017,129.7
"TOTAL","INPAT","P_HTHAB","M","F","IE06",2017,160.2
"TOTAL","INPAT","P_HTHAB","M","F","IS",2017,871.4
"TOTAL","INPAT","P_HTHAB","M","F","IT",2017,296.5
"TOTAL","INPAT","P_HTHAB","M","F","ITC1",2017,386.1
"TOTAL","INPAT","P_HTHAB","M","F","ITC2",2017,365.5
"TOTAL","INPAT","P_HTHAB","M","F","ITC3",2017,469.6
"TOTAL","INPAT","P_HTHAB","M","F","ITC4",2017,309.6
"TOTAL","INPAT","P_HTHAB","M","F","ITF1",2017,262.9
"TOTAL","INPAT","P_HTHAB","M","F","ITF2",2017,220.3
"TOTAL","INPAT","P_HTHAB","M","F","ITF3",2017,202.3
"TOTAL","INPAT","P_HTHAB","M","F","ITF4",2017,235.8
"TOTAL","INPAT","P_HTHAB","M","F","ITF5",2017,254.7
"TOTAL","INPAT","P_HTHAB","M","F","ITF6",2017,201.2
"TOTAL","INPAT","P_HTHAB","M","F","ITG1",2017,325.8
"TOTAL","INPAT","P_HTHAB","M","F","ITG2",2017,292.9
"TOTAL","INPAT","P_HTHAB","M","F","ITH1",2017,529.5
"TOTAL","INPAT","P_HTHAB","M","F","ITH2",2017,242.6
"TOTAL","INPAT","P_HTHAB","M","F","ITH3",2017,338.5
"TOTAL","INPAT","P_HTHAB","M","F","ITH4",2017,179.1
"TOTAL","INPAT","P_HTHAB","M","F","ITH5",2017,435.4
"TOTAL","INPAT","P_HTHAB","M","F","ITI1",2017,302.5
"TOTAL","INPAT","P_HTHAB","M","F","ITI2",2017,177.6
"TOTAL","INPAT","P_HTHAB","M","F","ITI3",2017,327.8
"TOTAL","INPAT","P_HTHAB","M","F","ITI4",2017,192.7
"TOTAL","INPAT","P_HTHAB","M","F","LI",2017,207.2
"TOTAL","INPAT","P_HTHAB","M","F","LT",2017,1418.4
"TOTAL","INPAT","P_HTHAB","M","F","LT01",2017,2012.9
"TOTAL","INPAT","P_HTHAB","M","F","LT02",2017,1184.3
"TOTAL","INPAT","P_HTHAB","M","F","LV",2017,1579.1
"TOTAL","INPAT","P_HTHAB","M","F","ME",2017,378.9
"TOTAL","INPAT","P_HTHAB","M","F","MT",2017,556.9
"TOTAL","INPAT","P_HTHAB","M","F","NL",2017,51.8
"TOTAL","INPAT","P_HTHAB","M","F","NL11",2017,51.9
"TOTAL","INPAT","P_HTHAB","M","F","NL12",2017,50.9
"TOTAL","INPAT","P_HTHAB","M","F","NL13",2017,36
"TOTAL","INPAT","P_HTHAB","M","F","NL21",2017,60.9
